DE,ENG,курсы,
Englisch,English,,
Deutsch,German,,
Eigenständig,Work Independently,https://www.coursera.org/learn/positive-psychiatry,https://www.coursera.org/learn/learning-how-to-learn?index=prod_all_products_term_optimization
Kommunikation,Communication,https://www.edx.org/course/communication-skills-and-teamwork-2,https://www.edx.org/course/effective-communication-for-todays-leader
Planung,Planning,https://www.coursera.org/learn/uva-darden-strategic-planning-execution,https://www.coursera.org/learn/work-smarter-not-harder
Flexibilität,Flexibility,https://www.coursera.org/specializations/managing-innovation-design-thinking,https://www.coursera.org/specializations/healthcare-administration-management
Projektabwicklung,Project Management,https://www.coursera.org/learn/uva-darden-project-management,https://www.edx.org/course/project-management-for-development
Beratung,Consulting,https://www.coursera.org/specializations/uva-darden-bcg-pricing-strategy,https://www.coursera.org/specializations/strategic-management
Verhandlungsführung,Negotiation,https://www.coursera.org/learn/negotiation-skills,https://www.edx.org/course/negotiation-strategies-and-styles
IT-Bereich,IT,,
Surveillance,Monitoring,https://www.coursera.org/learn/incident-response-recovery-risks-sscp,https://www.edx.org/course/results-based-project-management-monitoring-and-ev
Analyse,Analysis,https://www.coursera.org/learn/analysis-business-problem-iese,https://www.edx.org/course/data-analysis-essentials
Optimierung,Optimization,https://www.coursera.org/learn/seo-strategies,https://www.edx.org/course/convex-optimization
Zeichnen,Drawing,https://www.coursera.org/learn/interactive-computer-graphics,https://www.edx.org/course/3d-modeling-from-architectural-drawings
Management,Management,https://www.coursera.org/specializations/project-management,https://www.edx.org/micromasters/louvainx-management
Engagement,Engagement,https://www.coursera.org/learn/nurture-market-strategies,https://www.edx.org/course/community-engagement-collaborating-for-change
Dokumentationen,Documentation,https://www.coursera.org/learn/planning-auditing-maintaining-enterprise-systems,https://www.edx.org/course/ma-structuring-the-deal
Eigeninitiative,Initiative,https://www.coursera.org/learn/strategic-innovation-innovation-at-the-frontier,https://www.edx.org/course/leading-the-organization
Umsatzverantwortung,Sales,https://www.coursera.org/learn/build-sales-career,https://www.edx.org/professional-certificate/queensx-enterprise-sales
IT-Service,IT Services,https://www.coursera.org/learn/system-administration-it-infrastructure-services,https://www.edx.org/course/cloud-computing-infrastructure
Coaching,Coaching,https://www.coursera.org/specializations/coaching-skills-manager,https://www.edx.org/course/coaching-skills-for-educators
Koordination,Coordination,https://www.coursera.org/specializations/agile-development,https://www.edx.org/course/driving-speed-through-agile-planning-2
MS Excel,MS Excel,https://www.coursera.org/specializations/excel,https://www.edx.org/course/microsoft-office-fundamentals-outlook-word-and-excel-5
Innovation,Innovation,https://www.coursera.org/specializations/managing-innovation-design-thinking,https://www.edx.org/course/design-thinking-and-creativity-for-innovation
Kundenservice,Customer Services,https://www.coursera.org/learn/ibm-customer-engagement-specialist,https://www.edx.org/course/it-support-fundamentals